HB Customer ID,Product Type ID,Provider ID,External Publisher Code
8HBP4RO7E,27,10000,7CU483N2B
8HBP4RO7E,27,77,8HBP4RO7E
8HBP4RO7E,27,184,8HBP4RO7E
8HBP4RO7E,27,99,NULL
8HBP4RO7E,27,3008,7CU483N2B
8HBP4RO7E,27,188,8HBP4RO7E
8HBP4RO7E,27,193,NULL
8HBP4RO7E,27,192,NULL
8HBP4RO7E,27,226,NULL
8HBVV5BYF,27,3008,7CU5492IR
8HBVV5BYF,27,99,NULL
8HBVV5BYF,27,192,NULL
8HBVV5BYF,27,10000,7CU5492IR
8HBVV5BYF,27,80,7CU5492IR
8HBVV5BYF,27,97,7CU5492IR
8HBVV5BYF,27,82,7CU5492IR
8HBVV5BYF,27,226,NULL
8HBVV5BYF,27,193,NULL
8HBVV5BYF,27,148,7CU5492IR
8HBVV5BYF,27,175,7CU5492IR
8HBVV5BYF,27,178,7CU5492IR
8HBVV5BYF,27,109,7CU5492IR
8HB2NEI02,27,99,NULL
8HB2NEI02,27,188,8HB2NEI02
8HB2NEI02,27,77,8HB2NEI02
8HB2NEI02,27,184,8HB2NEI02
8HB2NEI02,27,192,NULL
8HB2NEI02,27,10000,7CU6A4L6S
8HB2NEI02,27,226,NULL
8HB2NEI02,27,193,NULL
8HB2NEI02,27,3008,7CU6A4L6S
8HB3L402N,27,99,NULL
8HB3L402N,27,226,NULL
8HB3L402N,27,10000,7CU98735N
8HB8DV553,27,77,8HB8DV553
8HB8DV553,27,226,NULL
8HB8DV553,27,99,NULL
8HB8DV553,27,188,8HB8DV553
8HB8DV553,27,184,8HB8DV553
8HB8DV553,27,10000,7CUHIP32W
8HBJ16SKS,27,99,NULL
8HBJ16SKS,27,10000,7CUMGE445
8HBFTU4Q7,27,192,NULL
8HBFTU4Q7,27,77,8HBFTU4Q7
8HBFTU4Q7,27,188,8HBFTU4Q7
8HBFTU4Q7,27,3008,7CUU426UL
8HBFTU4Q7,27,184,8HBFTU4Q7
8HBFTU4Q7,27,10000,7CUU426UL
8HBFTU4Q7,27,193,NULL
8HBFTU4Q7,27,99,NULL
8HBFTU4Q7,27,226,NULL
8HBGJ4764,27,97,7CUV51O64
8HBGJ4764,27,175,7CUV51O64
8HBGJ4764,27,99,NULL
8HBGJ4764,27,3015,7CUV51O64
8HBGJ4764,27,77,8HBGJ4764
8HBGJ4764,27,193,NULL
8HBGJ4764,27,80,7CUV51O64
8HBGJ4764,27,192,NULL
8HBGJ4764,27,188,8HBGJ4764
8HBGJ4764,27,10000,7CUV51O64
8HBGJ4764,27,145,100600
8HBGJ4764,27,2013,7CUV51O64
8HBGJ4764,27,203,7CUV51O64
8HBGJ4764,27,148,7CUV51O64
8HBGJ4764,27,178,7CUV51O64
8HBGJ4764,27,11,540538235
8HBGJ4764,27,82,7CUV51O64
8HBGJ4764,27,3008,7CUV51O64
8HBGJ4764,27,184,8HBGJ4764
8HBGJ4764,27,84,8HBGJ4764
8HBGJ4764,27,109,7CUV51O64
8HBGJ4764,27,226,NULL
8HBGJ4764,27,126,7CUV51O64
8HB2P588Y,27,77,8HB2P588Y
8HB2P588Y,27,188,8HB2P588Y
8HB2P588Y,27,184,8HB2P588Y
8HB2P588Y,27,10000,8CU111TM4
8HB2P588Y,27,99,NULL
8HB2P588Y,27,3008,8CU111TM4
8HBQ1J435,27,226,NULL
8HBQ1J435,27,184,8HBQ1J435
8HBQ1J435,27,3008,8CU116O3Y
8HBQ1J435,27,10000,8CU116O3Y
8HBQ1J435,27,193,NULL
8HBQ1J435,27,188,8HBQ1J435
8HBQ1J435,27,192,NULL
8HBQ1J435,27,99,NULL
8HBQ1J435,27,77,8HBQ1J435
8HB713284,27,3008,8CU13YRY7
8HB713284,27,99,NULL
8HB713284,27,193,NULL
8HB713284,27,226,NULL
8HB713284,27,192,NULL
8HB713284,27,77,8HB713284
8HB713284,27,188,8HB713284
8HB713284,27,184,8HB713284
8HB713284,27,10000,8CU13YRY7
8HBU1I23M,27,77,8HBU1I23M
8HBU1I23M,27,99,NULL
8HBU1I23M,27,188,8HBU1I23M
8HBU1I23M,27,10000,8CU14X8NE
8HBU1I23M,27,184,8HBU1I23M
8HBU1I23M,27,84,8HBU1I23M
8HBU1I23M,27,97,8CU14X8NE
8HBU1I23M,27,226,NULL
8HB3R8619,27,10000,8CU187X65
8HB3R8619,27,175,8CU187X65
8HB3R8619,27,99,NULL
8HB3R8619,27,203,8CU187X65
8HB3R8619,27,97,8CU187X65
8HB3R8619,27,178,8CU187X65
8HB3R8619,27,201,8CU187X65
8HB3R8619,27,80,8CU187X65
8HB3R8619,27,214,8CU187X65
8HB3R8619,27,222,8CU187X65
8HB14J12W,27,10000,8CU197G16
8HB14J12W,27,99,NULL
8HB14J12W,27,226,NULL
8HB5WKL3D,27,188,8HB5WKL3D
8HB5WKL3D,27,226,NULL
8HB5WKL3D,27,192,NULL
8HB5WKL3D,27,10000,8CU1GR4A6
8HB5WKL3D,27,184,8HB5WKL3D
8HB5WKL3D,27,99,NULL
8HB5WKL3D,27,3008,8CU1GR4A6
8HB5WKL3D,27,77,8HB5WKL3D
8HB5WKL3D,27,193,NULL
8HBRQI7FG,27,226,NULL
8HBRQI7FG,27,193,NULL
8HBRQI7FG,27,3008,8CU1W5DMU
8HBRQI7FG,27,55,540877066
8HBRQI7FG,27,192,NULL
8HBRQI7FG,27,99,NULL
8HBRQI7FG,27,10000,8CU1W5DMU
8HB3KKFG7,27,55,540871133
8HB3KKFG7,27,192,NULL
8HB3KKFG7,27,3008,8CU1Y6VT3
8HB3KKFG7,27,188,8HB3KKFG7
8HB3KKFG7,27,184,8HB3KKFG7
8HB3KKFG7,27,193,NULL
8HB3KKFG7,27,226,NULL
8HB3KKFG7,27,77,8HB3KKFG7
8HB3KKFG7,27,99,NULL
8HB3KKFG7,27,10000,8CU1Y6VT3
8HBSRD725,27,184,8HBSRD725
8HBSRD725,27,99,NULL
8HBSRD725,27,77,8HBSRD725
8HBSRD725,27,188,8HBSRD725
8HBSRD725,27,10000,8CU214S2A
8HBOM5GN0,27,184,8HBOM5GN0
8HBOM5GN0,27,77,8HBOM5GN0
8HBOM5GN0,27,193,NULL
8HBOM5GN0,27,226,NULL
8HBOM5GN0,27,192,NULL
8HBOM5GN0,27,3008,8CU22UOG1
8HBOM5GN0,27,10000,8CU22UOG1
8HBOM5GN0,27,188,8HBOM5GN0
8HBOM5GN0,27,99,NULL
8HB3RL35Y,27,10000,8CU23APTW
8HB3RL35Y,27,3008,8CU23APTW
8HB3RL35Y,27,77,8HB3RL35Y
8HB3RL35Y,27,184,8HB3RL35Y
8HB3RL35Y,27,99,NULL
8HB3RL35Y,27,188,8HB3RL35Y
8HBPK2J3V,27,77,8HBPK2J3V
8HBPK2J3V,27,188,8HBPK2J3V
8HBPK2J3V,27,226,NULL
8HBPK2J3V,27,10000,8CU23M2RC
8HBPK2J3V,27,99,NULL
8HBPK2J3V,27,184,8HBPK2J3V
8HB47Q6SM,27,10000,8CU24NF9W
8HB47Q6SM,27,97,8CU24NF9W
8HB47Q6SM,27,84,8HB47Q6SM
8HB47Q6SM,27,226,NULL
8HB47Q6SM,27,82,8CU24NF9W
8HB47Q6SM,27,178,8CU24NF9W
8HB47Q6SM,27,148,8CU24NF9W
8HB47Q6SM,27,192,NULL
8HB47Q6SM,27,175,8CU24NF9W
8HB47Q6SM,27,145,100600
8HB47Q6SM,27,109,8CU24NF9W
8HB47Q6SM,27,99,NULL
8HB47Q6SM,27,193,NULL
8HB4F6Q48,27,201,8CU24Q536
8HB4F6Q48,27,226,NULL
8HB4F6Q48,27,214,8CU24Q536
8HB4F6Q48,27,222,8CU24Q536
8HB4F6Q48,27,203,8CU24Q536
8HB4F6Q48,27,184,8HB4F6Q48
8HB4F6Q48,27,178,8CU24Q536
8HB4F6Q48,27,10000,8CU24Q536
8HB4F6Q48,27,175,8CU24Q536
8HB4F6Q48,27,188,8HB4F6Q48
8HB4F6Q48,27,97,8CU24Q536
8HB4F6Q48,27,77,8HB4F6Q48
8HB4F6Q48,27,99,NULL
8HB4F6Q48,27,80,8CU24Q536
8HBII42IM,27,99,NULL
8HBII42IM,27,178,8CU252XO2
8HBII42IM,27,3008,8CU252XO2
8HBII42IM,27,214,8CU252XO2
8HBII42IM,27,188,8HBII42IM
8HBII42IM,27,175,8CU252XO2
8HBII42IM,27,10000,8CU252XO2
8HBII42IM,27,80,8CU252XO2
8HBII42IM,27,201,8CU252XO2
8HBII42IM,27,203,8CU252XO2
8HBII42IM,27,222,8CU252XO2
8HBII42IM,27,97,8CU252XO2
8HBII42IM,27,77,8HBII42IM
8HBII42IM,27,184,8HBII42IM
8HBX59DG9,27,184,8HBX59DG9
